target,action,reward
0,(0; -0.13),[0.14158781 1.5653414 ],0.33007102270344785
0,(0; -0.13),[0.18982126 2.4348357 ],-0.008672144754184178
0,(0.13; 0),[0.00496277 0.6183669 ],-0.2628117229788374
0,(0.13; 0),[0.07466511 4.1392565 ],-0.19880570009278267
0,(0.13; 0),[0.20086658 5.44203   ],-0.8131648231736962
0,(0; -0.13),[0.12022089 4.7864447 ],-0.5412244139985672
0,(0; 0.13),[0.11057864 1.1290338 ],-0.48704968003862337
0,(0.13; 0),[0.14917542 2.0684617 ],-0.13328206632184367
0,(0.13; 0),[0.03548379 2.2158964 ],-0.24559845499274746
0,(0; 0.13),[0.11487841 4.063291  ],-0.02151543700608385
0,(0.13; 0),[0.04713903 3.725458  ],-0.22054915808922104
0,(0.13; 0),[0.22      4.8819466],-0.7262938358229718
0,(0.13; 0),[0.19144122 1.427356  ],-0.5837020133844286
0,(0.13; 0),[0.08953213 1.3249093 ],-0.31856988669345315
0,(0; 0.13),[0.18957047 2.5590193 ],-0.7252791748270153
0,(0; 0.13),[0.04050285 4.786994  ],-0.2252067071796567
0,(0; 0.13),[0.11743937 4.2698164 ],0.04688717558700668
0,(0.13; 0),[0.04780624 4.7031364 ],-0.26319067486622394
0,(0.13; 0),[0.18018815 2.2583199 ],-0.011298461956945928
0,(0.13; 0),[0.11673975 5.200303  ],-0.422418324634795
0,(0.13; 0),[0.05178746 3.7580247 ],-0.21299599799646593
0,(0.13; 0),[0.07796422 2.8320408 ],-0.12525756128366564
0,(0; 0.13),[0.03083958 3.1614118 ],-0.26216882011113674
0,(0; -0.13),[0.01968038 2.1952033 ],-0.2553453694422841
0,(0; -0.13),[0.08715682 1.0487989 ],-0.10844119850490772
0,(0; 0.13),[0.18048614 3.5788982 ],-0.2165235727347441
0,(0.13; 0),[0.12356844 2.166597  ],-0.10759622375963802
0,(0.13; 0),[0.09270255 5.612844  ],-0.40759896164269543
0,(0.13; 0),[0.01039292 2.416692  ],-0.26056093084354454
0,(0.13; 0),[0.06650121 0.6936378 ],-0.33716944471313015
0,(0; -0.13),[0.16656896 0.68458784],-0.007214126548492436
0,(0; 0.13),[0.14349234 0.6751238 ],-0.5519976988632191
0,(0; 0.13),[0.17081726 3.8630803 ],0.024133773906877095
0,(0; -0.13),[0.04506299 3.0946572 ],-0.26126373179141243
